"TimeStamp","Total Customers","Total_cust_daypart","Thruput","Thruput_dp","Total Abandon","Total_abandon_dp","Queue_time","Order_time","Wait_time","Total_time","tp_9am","tp_12pm","tp_2pm","tp_5pm","tp_8pm","tp_am","tp_pm"
"2023/03/14_16:11:34","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:11:39","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:11:44","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:11:50","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:11:55","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:12:01","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:12:06","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:12:11","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:12:17","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:12:22","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:12:28","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:12:33","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:12:39","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:12:44","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:12:50","130","15","16","12","0","0","00:02","01:36","04:55","06:33","31","18","16","15","12","18","15"
"2023/03/14_16:12:55","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","12","18","15"
"2023/03/14_16:13:00","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:13:06","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:13:11","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:13:17","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:13:22","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:13:28","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:13:33","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:13:38","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:13:44","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:13:49","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:13:55","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:14:00","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:14:05","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
"2023/03/14_16:14:11","130","15","16","13","0","0","00:02","01:36","04:44","06:22","31","18","16","15","13","18","15"
